8579,8600,//,[,0,]
4301,4200,//,[,1,]
233,450,//,[,2,]
1539,1200,//,[,3,]
569,450,//,[,4,]
474,450,//,[,5,]
574,450,//,[,6,]
1533,1200,//,[,7,]
597,450,//,[,8,]
1536,1200,//,[,9,]
649,450,//,[,10,]
468,450,//,[,11,]
649,450,//,[,12,]
1536,1200,//,[,13,]
649,450,//,[,14,]
215,450,//,[,15,]
903,450,//,[,16,]
1204,1200,//,[,17,]
569,450,//,[,18,]
473,450,//,[,19,]
575,450,//,[,20,]
1576,1200,//,[,21,]
501,450,//,[,22,]
618,450,//,[,23,]
469,450,//,[,24,]
649,450,//,[,25,]
470,450,//,[,26,]
1718,1200,//,[,27,]
470,450,//,[,28,]
649,450,//,[,29,]
220,450,//,[,30,]
1534,1200,//,[,31,]
574,450,//,[,32,]
468,450,//,[,33,]
570,450,//,[,34,]
472,450,//,[,35,]
616,450,//,[,36,]
1537,1200,//,[,37,]
649,450,//,[,38,]
470,450,//,[,39,]
649,450,//,[,40,]
1539,1200,//,[,41,]
649,450,//,[,42,]
189,450,//,[,43,]
928,450,//,[,44,]
114,450,//,[,45,]
575,450,//,[,46,]
467,450,//,[,47,]
570,450,//,[,48,]
538,450,//,[,49,]
500,450,//,[,50,]
1685,1200,//,[,51,]
467,450,//,[,52,]
649,450,//,[,53,]
469,450,//,[,54,]
1716,1200,//,[,55,]
469,450,//,[,56,]
649,450,//,[,57,]
199,450,//,[,58,]
1538,1200,//,[,59,]
570,450,//,[,60,]
1537,1200,//,[,61,]
571,450,//,[,62,]
1536,1200,//,[,63,]
642,450,//,[,64,]
1537,1200,//,[,65,]
654,450,//,[,66,]
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
